THERMAL ZONE: P1-6-COMMERCE 1-Cooling,THERMAL ZONE: HALL-1-7-Cooling,THERMAL ZONE: HALL-1-6-Cooling,,timestep
,,,,1
25.808132,24.912645,23.825619,,2
24.21289,24.422432,23.849651,,3
22.556864,22.982979,23.078856,,4
24.030897,24.402992,22.916405,,5
25.105877,24.151249,23.124481,,6
23.977661,23.947126,23.672646,,7
25.849789,25.416183,24.030233,,8
22.116564,22.177572,23.804018,,9
25.203585,22.793884,25.486937,,10
23.327589,24.166092,25.38213,,11
25.2502,24.108675,25.024086,,12
22.237297,23.64733,24.386707,,13
23.323082,24.98236,25.500948,,14
22.066368,22.952297,22.175945,,15
22.357452,25.565018,24.511675,,16
22.952576,24.75302,22.59566,,17
23.448008,25.038889,24.790943,,18
22.316032,25.009268,24.363287,,19
24.190018,22.355333,23.07093,,20
24.810074,23.42932,23.26965,,21
25.354815,23.100035,23.803158,,22
22.831797,25.257345,25.1379,,23
22.217167,23.426455,24.265379,,24
25.41721,22.78,23.957289,,25
22.168749,22.511436,22.540836,,26
25.688206,24.067213,22.63228,,27
22.659025,23.688583,23.974659,,28
22.15792,22.487526,24.197123,,29
23.714413,24.361301,22.539711,,30
23.95191,23.830374,24.346544,,31
25.69772,23.531012,23.330208,,32
23.226345,22.7406,25.628353,,33
23.636623,24.710629,24.937378,,34
24.573063,22.665775,22.375126,,35
22.282003,25.208338,23.585728,,36
22.817194,23.049623,25.072792,,37
24.945465,23.804348,25.011246,,38
23.566164,23.321114,25.42229,,39
25.794823,25.169369,23.342615,,40
25.699442,24.185846,23.323025,,41
24.790503,24.353048,25.533447,,42
24.9972,25.217302,24.88454,,43
22.214487,22.401005,25.24529,,44
25.34549,24.240355,23.258474,,45
24.840834,23.065485,22.443716,,46
22.164824,23.960777,22.841225,,47
22.032888,22.378906,22.180202,,48
22.220726,24.110271,23.642069,,49
25.878925,24.363377,25.57835,,50
23.65747,23.760992,23.15003,,51
25.107819,22.829216,24.69506,,52
25.483519,22.456572,24.754953,,53
24.001892,22.525837,23.003197,,54
22.116167,23.056923,22.917917,,55
23.79213,25.459234,25.39167,,56
22.093765,23.347324,22.246681,,57
22.777039,24.19625,25.139498,,58
22.841417,23.53221,23.266838,,59
23.27287,22.533146,24.351284,,60
22.163479,24.294933,22.484211,,61
22.232708,23.29361,24.662424,,62
22.489048,24.44363,24.358122,,63
23.190632,25.584423,24.433285,,64
25.151031,25.511753,25.61438,,65
23.669128,25.624992,25.527767,,66
22.333921,22.596144,25.52389,,67
22.392237,23.478994,22.351048,,68
25.262333,24.776459,23.746534,,69
25.853456,24.768486,24.740282,,70
25.062977,23.844841,22.663652,,71
25.745796,24.953316,22.725227,,72
22.344988,25.449818,24.414982,,73
24.076052,22.875435,22.443518,,74
24.943502,24.435837,22.98862,,75
25.593657,22.654547,22.437618,,76
22.098791,22.714872,22.964573,,77
25.72024,24.303034,22.941034,,78
24.177486,22.427797,22.398754,,79
24.404266,25.030882,24.9888,,80
23.301432,25.649807,23.676573,,81
24.26257,22.724651,25.426235,,82
24.42167,25.270662,22.564924,,83
23.864927,24.579578,25.686655,,84
24.019135,24.174837,24.357712,,85
23.435385,23.124231,23.98586,,86
25.116228,23.062227,24.132597,,87
23.517971,25.69607,24.359692,,88
23.881788,22.303974,22.689262,,89
23.31342,24.260786,24.421711,,90
25.60676,23.013897,22.301025,,91
24.34059,23.182486,24.708054,,92
22.77092,22.485662,24.026594,,93
25.765453,25.452341,22.56037,,94
23.980207,23.180695,22.687122,,95
23.536037,25.505993,25.585989,,96
22.037903,22.559286,22.085073,,97
25.56559,24.605227,24.331343,,98
